key	speaker_gender	speaker_name	cs_text	fem_preview	changed
7e3fd30b-9eed-4980-8fd9-1af519d90b99	Female	Areelu	"""A co já, pisatel těchto slov, polodémonka čarodějka známá jako Architektka Worldwoundu?"""	"""A co já, pisatel těchto slov, polodémonka čarodějka známá jako Architektka Worldwoundu?"""	no
7b429f6b-3e17-4f01-a718-4aca9649ad42	Female	Areelu	"""Získala jsem více, než jsem doufala. Dosáhla jsem svého cíle, přemohla jsem smrt — nevyřčená moc a věčnost leží přede mnou. Jak strávím tu věčnost? Ještě jsem se nerozhodla. Ale vím — z vlastní zkušenosti vím — že každý okamžik má cenu, když je stráven s tím, kdo je pro tebe nejdůležitější."""	"""Získala jsem více, než jsem doufala. Dosáhla jsem svého cíle, přemohla jsem smrt — nevyřčená moc a věčnost leží přede mnou. Jak strávím tu věčnost? Ještě jsem se nerozhodla. Ale vím — z vlastní zkušenosti vím — že každý okamžik má cenu, když je stráven s tím, kdo je pro tebe nejdůležitější."""	no
590bcea2-9527-4ed1-a941-d1061e3097a7	Female	Areelu	"""Přidala jsem se na stranu toho, proti komu jsem dříve bojovala. Viděla jsem omyl svého úsudku a správnost {mf|his|hers}. Pomohla jsem obnovit svět, který jsem zohavila. Zachraňovala jsem ho, hojila — až do chvíle, kdy rána na mé hrudi vyžádala můj život."""	"""Přidala jsem se na stranu toho, proti komu jsem dříve bojovala. Viděla jsem omyl svého úsudku a správnost {mf|his|hers}. Pomohla jsem obnovit svět, který jsem zohavila. Zachraňovala jsem ho, hojila — až do chvíle, kdy rána na mé hrudi vyžádala můj život."""	no
37ef9f4c-f71b-4cda-aa01-33d3af24cc39	Female	Areelu	"""Přišla jsem sem říct, že {mf|he|she} a já už nejsme ve tvé moci. To je poslední, nejvýznamnější výsledek mého experimentu Transformace."""	"""Přišla jsem sem říct, že {mf|he|she} a já už nejsme ve tvé moci. To je poslední, nejvýznamnější výsledek mého experimentu Transformace."""	no
14bb7f75-e64d-4b06-a11d-40f0decd2d05	Female	Areelu	"""Teď už víš vše. Očekávám tvůj rozsudek, bohyně."""	"""Teď už víš vše. Očekávám tvůj rozsudek, bohyně."""	no
e8e08c11-ef47-4659-8161-f8795f262443	Female	Areelu	"""Kde je teď tvá proklamovaná vyrovnanost? Pokud uděláš takový krok, zapálíš válku, jež zatřese kosmem. Jsi na to připravena, Lady of Graves?"""	"""Kde je teď tvá proklamovaná vyrovnanost? Pokud uděláš takový krok, zapálíš válku, jež zatřese kosmem. Jsi na to připravena, Lady of Graves?"""	no
d43805ab-46b4-4088-a072-95639c475907	Female	Areelu	"""Předala jsem své poselství. Sbohem, Lady of Graves. Už se nesetkáme."""	"""Předala jsem své poselství. Sbohem, Lady of Graves. Už se nesetkáme."""	no
42cd424a-112a-4856-b999-a572e21d62e7	Female	Epilogue PharasmasCourt	"""Jejich spojená moc narostla nesmírně, téměř srovnatelně s mou... Budiž."""	"""Jejich spojená moc narostla nesmírně, téměř srovnatelně s mou... Budiž."""	no
6b499fc1-cc61-4e46-884f-7aeede4a06c0	Female	Epilogue PharasmasCourt	"""Pošlu tě do Nirvany, roviny míru a duchovnosti, což je právě to, co nyní tvá duše potřebuje. Budiž."""	"""Pošlu tě do Nirvany, roviny míru a duchovnosti, což je právě to, co nyní tvá duše potřebuje. Budiž."""	no
21205eea-67ff-482a-a719-994fc97be536	Female	Epilogue PharasmasCourt	"""Pro takového jako ty není ve vesmíru místo. Tak budiž."""	"""Pro takového jako ty není ve vesmíru místo. Tak budiž."""	no
eee2a9a0-2318-40fd-b6f3-bf2dc24d603f	Female	Epilogue PharasmasCourt	"""Útěkář před mým soudem si přeje promluvit? Dopustím to."""	"""Útěkář před mým soudem si přeje promluvit? Dopustím to."""	no
4e8ac266-57d6-40ab-9466-fa64d97aaa1f	Female	Epilogue PharasmasCourt	"""Zákony vesmíru existují po tisíciletí. Jsou nezpochybnitelné."""	"""Zákony vesmíru existují po tisíciletí. Jsou nezpochybnitelné."""	no
ea679b24-6a24-418d-9abb-e4b72e4413ed	Female	MythicLocust Ch5	"{n}Anevia ve svých tlumených barvách splývá téměř dokonale s pozadím. Působí uvolněně, avšak její zdánlivě nepřítomné oči všechno vnímají, sledují a filtrují možné hrozby. Jediným rozpoznatelným znakem je, jak si bubnuje prsty na kyčli u pochvy své zbraně. Nejeví známky zranění a sebedůvěrně se opírá o dříve zlomenou nohu. Předstírá, že si tě právě všimla, přestože tě sledovala z dálky.{/n} ""Och! Ahoj! Vidíš, jak mě spravili! Teď můžu běžet, skákat nebo si zatančit jigu, když se mi zachce."""	"{n}Anevia ve svých tlumených barvách splývá téměř dokonale s pozadím. Působí uvolněně, avšak její zdánlivě nepřítomné oči všechno vnímají, sledují a filtrují možné hrozby. Jediným rozpoznatelným znakem je, jak si bubnuje prsty na kyčli u pochvy své zbraně. Nejeví známky zranění a sebedůvěrně se opírá o dříve zlomenou nohu. Předstírá, že si tě právě všimla, přestože tě sledovala z dálky.{/n} ""Och! Ahoj! Vidíš, jak mě spravili! Teď můžu běžet, skákat nebo si zatančit jigu, když se mi zachce."""	no
e6764db6-ee71-4278-bd92-3103ac2b7fcd	Female	MythicLocust Ch5	"""Podívej, kdo to je! Ahoj!"""	"""Podívej, kdo to je! Ahoj!"""	no
a438d597-6e2f-408d-a5d8-5819082cf30c	Female	MythicLocust Ch5	"{n}Pokrčí rameny s líným úsměvem.{/n} ""Ráda bych, ale vlastně není o čem vyprávět. Co je na mně tak zajímavého?"""	"{n}Pokrčí rameny s líným úsměvem.{/n} ""Ráda bych, ale vlastně není o čem vyprávět. Co je na mně tak zajímavého?"""	no
fdd26e04-926f-406f-8724-84cb5715cee5	Female	MythicLocust Ch5	"""Jsem z {g|Nidal}Nidal{/g}. A své vlasti bych nepřála ani tomu nejhoršímu nepříteli. Určitě o ní slyšíš — vládnou tam příšery, které nejsou ani živé, ani mrtvé, a oficiálním náboženstvím je kult {g|Zon-Kuthon}Zon-Kuthon{/g}. Vyrůstala jsem v chudinské čtvrti, jako plevel mezi dlažebními kostkami. Tátu jsem neměla, ale měla jsem spoustu tet a strýců... kumpánů mé matky. Netipuj, v čem měla mamka prsty. Dali mi sadu nástrojů na vypáčení zámků, jakmile jsem byla schopna držet lžíci, a zatímco ostatní děti si rýpaly v nose, já tahala peněženky."""	"""Jsem z {g|Nidal}Nidal{/g}. A své vlasti bych nepřála ani tomu nejhoršímu nepříteli. Určitě o ní slyšíš — vládnou tam příšery, které nejsou ani živé, ani mrtvé, a oficiálním náboženstvím je kult {g|Zon-Kuthon}Zon-Kuthon{/g}. Vyrůstala jsem v chudinské čtvrti, jako plevel mezi dlažebními kostkami. Tátu jsem neměla, ale měla jsem spoustu tet a strýců... kumpánů mé matky. Netipuj, v čem měla mamka prsty. Dali mi sadu nástrojů na vypáčení zámků, jakmile jsem byla schopna držet lžíci, a zatímco ostatní děti si rýpaly v nose, já tahala peněženky."""	no
89ceece7-fd65-485e-a930-ecfa5824e116	Female	MythicLocust Ch5	"""Když mi bylo dvanáct, přišli pro nás mniši Tichého pláště. Děsiví chlapi s prošitými ústy, jsou to strážci v Nisroch. Máma mě svěřila svým přátelům a schovali jsme se v tajném chrámu {g|Desna}Desna{/g}. Mamku jsem už nikdy neviděla."""	"""Když mi bylo dvanáct, přišli pro nás mniši Tichého pláště. Děsiví chlapi s prošitými ústy, jsou to strážci v Nisroch. Máma mě svěřila svým přátelům a schovali jsme se v tajném chrámu {g|Desna}Desna{/g}. Mamku jsem už nikdy neviděla."""	no
c7b19f2d-2ad5-40d8-b59f-a9c264b14ce3	Female	MythicLocust Ch5	"""Příštích pár let jsem setrvala v chrámu, držela jsem hlavu skloněnou. Myla jsem podlahy, nosila vodu, poslouchala kázání. Smutné je, že po čase se mi začalo líbit učení {g|Desna}Desna{/g}. Ale jakmile jsem dospěla, zmizela jsem — opustila jsem {g|Nidal}Nidal{/g} a dostala se co nejdál."""	"""Příštích pár let jsem setrvala v chrámu, držela jsem hlavu skloněnou. Myla jsem podlahy, nosila vodu, poslouchala kázání. Smutné je, že po čase se mi začalo líbit učení {g|Desna}Desna{/g}. Ale jakmile jsem dospěla, zmizela jsem — opustila jsem {g|Nidal}Nidal{/g} a dostala se co nejdál."""	no
dea01f17-3656-4b0e-aa69-c5b9dc07d3ab	Female	MythicLocust Ch5	(Anevia se vyhýbavě usměje.) Nic oficiálního. Nejsem ani rytířka, víš — jen se toulám kolem. Opravdu chceš znát podrobnosti?	(Anevia se vyhýbavě usměje.) Nic oficiálního. Nejsem ani rytířka, víš — jen se toulám kolem. Opravdu chceš znát podrobnosti?	no
74c3f799-730e-41aa-8933-1da7e78fad72	Female	MythicLocust Ch5	Chytat zrádce, špiony a kultisty není žádná procházka růžovou zahradou — je to citlivá práce. Ne vždy to lze dělat přesně podle písma zákona. Co když někoho podezřelého přepadneme oficiální prohlídkou? Brzy se o tom všichni dozvědí, počínaje jejich kumpány. Na druhou stranu, vnikat v noci do domů lidí taky není zrovna legální. Křižáci by takové věci dělat neměli, že? No, já nejsem zrovna rytířka... (Odmlčí se.)	Chytat zrádce, špiony a kultisty není žádná procházka růžovou zahradou — je to citlivá práce. Ne vždy to lze dělat přesně podle písma zákona. Co když někoho podezřelého přepadneme oficiální prohlídkou? Brzy se o tom všichni dozvědí, počínaje jejich kumpány. Na druhou stranu, vnikat v noci do domů lidí taky není zrovna legální. Křižáci by takové věci dělat neměli, že? No, já nejsem zrovna rytířka... (Odmlčí se.)	no
6c901cd5-03d4-4787-bab1-57486866f583	Female	MythicLocust Ch5	Tak jo! Dávej na sebe pozor.	Tak jo! Dávej na sebe pozor.	no
f56d37c7-b921-4db3-86cd-41e7b710f330	Female	MythicLocust Ch5	To máš pravdu, ha ha, jen to nejlepší pro tebe! Co uděláš, když rytíři a šlechtici selžou a nezachrání svět? Spodina je naše jediná naděje!	To máš pravdu, ha ha, jen to nejlepší pro tebe! Co uděláš, když rytíři a šlechtici selžou a nezachrání svět? Spodina je naše jediná naděje!	no
0f31c449-3c10-4970-8731-20c07e7be4fe	Female	MythicLocust Ch5	Jo, přesně tak!	Jo, přesně tak!	no
060f4252-0650-4826-aefd-fc1f20f9579d	Female	MythicLocust Ch5	(Anevia odpoví sotva skrývaně podrážděně.) Nic z toho. Naši průzkumníci prolezli celou oblast, do každé díry. Nic. Gray Road byla úplně prázdná, a pak — bam! Vyskočilo celé vojsko jako z krabičky.	(Anevia odpoví sotva skrývaně podrážděně.) Nic z toho. Naši průzkumníci prolezli celou oblast, do každé díry. Nic. Gray Road byla úplně prázdná, a pak — bam! Vyskočilo celé vojsko jako z krabičky.	no
08a6b552-5ddb-428f-aa64-5e77f5b67b62	Female	MythicLocust Ch5	(Anevia ostře zavrtí hlavou.) Ne. Nula. Nic. Ta špína se rozplynula jako pára nad hrncem. Vojáci viděli, jak vyskočila z okna, proběhla náměstím před citadelou a najednou zmizela. Od té doby jsme o ní neslyšeli. A nelíbí se mi to. Říkám ti, to je špatné.	(Anevia ostře zavrtí hlavou.) Ne. Nula. Nic. Ta špína se rozplynula jako pára nad hrncem. Vojáci viděli, jak vyskočila z okna, proběhla náměstím před citadelou a najednou zmizela. Od té doby jsme o ní neslyšeli. A nelíbí se mi to. Říkám ti, to je špatné.	no
970abada-5ef6-4537-82af-7a844d9b9894	Female	MythicLocust Ch5	(Anevia pohlédne na zdevastovanou krčmu, kousajíc si ret s pochmurným výrazem.) Víš... To ještě nekončí. Ale naše šance se den ode dne tenčí.	(Anevia pohlédne na zdevastovanou krčmu, kousajíc si ret s pochmurným výrazem.) Víš... To ještě nekončí. Ale naše šance se den ode dne tenčí.	no
133ed7a4-d7ed-4bec-af79-1200b57d7dac	Female	MythicLocust Ch5	(Anevia se na tebe zamračí.) Obvykle nesnáším chytráky, co si myslí, že čtou lidi jako knihu a vždy vědí, co je správné... ale tvoje schopnost tě zatím nezklamala. Věřím ti. Víš, trochu mi tím připomínáš Irabeth: ona nemůže klidně spát, pokud ví, že se kolem děje nespravedlnost. Je jasné, proč ti kryje záda.	(Anevia se na tebe zamračí.) Obvykle nesnáším chytráky, co si myslí, že čtou lidi jako knihu a vždy vědí, co je správné... ale tvoje schopnost tě zatím nezklamala. Věřím ti. Víš, trochu mi tím připomínáš Irabeth: ona nemůže klidně spát, pokud ví, že se kolem děje nespravedlnost. Je jasné, proč ti kryje záda.	no
255549af-f172-48be-89e4-7a189e2e92b2	Female	MythicLocust Ch5	Eh, nic velkého. Jen jsem seděla venku v chladu příliš dlouho a prochladla... Díky za starost, ale neboj: jsem teď zdravá jako ryba.	Eh, nic velkého. Jen jsem seděla venku v chladu příliš dlouho a prochladla... Díky za starost, ale neboj: jsem teď zdravá jako ryba.	no
1aadb170-77e0-4b4a-9b57-d2c0e35b01e4	Female	MythicLocust Ch5	(To je pro Arueshalae? Aha, vidím tě, můžeš vyjít!) (Anevia se usměje na polozakrytou sukubu, která plachě vystupuje ze svého úkrytu.) (No není to lepší? Každopádně, zpět k chlebu...) (Anevia povzdechne a zasněně hledí do dálky.)	(To je pro Arueshalae? Aha, vidím tě, můžeš vyjít!) (Anevia se usměje na polozakrytou sukubu, která plachě vystupuje ze svého úkrytu.) (No není to lepší? Každopádně, zpět k chlebu...) (Anevia povzdechne a zasněně hledí do dálky.)	no
6e60c9eb-3c61-4458-86ea-b4f355350df3	Female	MythicLocust Ch5	„Je tvrdá jako... jako paladin!“ (Anevia dupne nohou v předstírané zuřivosti, ale na tváři se jí rozsvítí úsměv.) Vrátila se — a už se nemůže dočkat, až zase vyrazí do boje. Ale teď ji nepustím z dohledu. Budu jejím stínem, dokud nezešediví!	„Je tvrdá jako... jako paladin!“ (Anevia dupne nohou v předstírané zuřivosti, ale na tváři se jí rozsvítí úsměv.) Vrátila se — a už se nemůže dočkat, až zase vyrazí do boje. Ale teď ji nepustím z dohledu. Budu jejím stínem, dokud nezešediví!	no
5a99a8dc-e397-41b4-84bf-03afac6f70fa	Female	MythicLocust Ch5	(Anevia se ušklíbne.) A bude čekat dál. Nidalští katové jsou až na konci fronty všech, kdo chtějí mou hlavu, za démony a kultisty. Neopustím křížovou výpravu, to víš. Ne proto, že bych se snažila odčinit své hříchy, ale protože je to teď moje mise. Moje a Irabethina.	(Anevia se ušklíbne.) A bude čekat dál. Nidalští katové jsou až na konci fronty všech, kdo chtějí mou hlavu, za démony a kultisty. Neopustím křížovou výpravu, to víš. Ne proto, že bych se snažila odčinit své hříchy, ale protože je to teď moje mise. Moje a Irabethina.	no
70dbd0fb-7d09-4aa5-8cd5-d75656199d16	Female	MythicLocust Ch5	"""Ne, Veliteli. Věř mi, tohle nepotřebuješ vědět."" (Anevia zavrtí hlavou, dává najevo, že další dotazy jsou zbytečné.)"	"""Ne, Veliteli. Věř mi, tohle nepotřebuješ vědět."" (Anevia zavrtí hlavou, dává najevo, že další dotazy jsou zbytečné.)"	no
5871d52c-dc0b-49f7-b6c3-42df87ce449f	Female	MythicLocust Ch5	"""Protože je to záležitost nikoho jiného. Teď znáš pravdu — změnilo to něco?"""	"""Protože je to záležitost nikoho jiného. Teď znáš pravdu — změnilo to něco?"""	no
a044b0e1-b590-446c-8f07-738e488f99e1	Female	MythicLocust Ch5	"(Anevia pokrčí rameny.) ""Čekáš, že se budu omlouvat za to, kdo jsem? Nikdy se to nestane."""	"(Anevia pokrčí rameny.) ""Čekáš, že se budu omlouvat za to, kdo jsem? Nikdy se to nestane."""	no
8e140f7b-ad2f-4829-b72d-80a7da57e1cc	Female	MythicLocust Ch5	"""Díky."" (Anevia se usměje.) ""To všechno díky Irabeth. Nevím, jak bych bez ní přežila. Upřímně, asi bych nepřežila."""	"""Díky."" (Anevia se usměje.) ""To všechno díky Irabeth. Nevím, jak bych bez ní přežila. Upřímně, asi bych nepřežila."""	no
1bbf4146-23d7-4711-a2a1-5f8175f0fa95	Female	MythicLocust Ch5	"(Anevia pokrčí rameny.) ""Není zač. Jak jsem řekla: jsem v pořádku. Tahle maličkost z mého soukromého života s křížovou výpravou nic nemá."""	"(Anevia pokrčí rameny.) ""Není zač. Jak jsem řekla: jsem v pořádku. Tahle maličkost z mého soukromého života s křížovou výpravou nic nemá."""	no
5b5623f8-f0c1-4c30-8dcd-8137ee1264dc	Female	MythicLocust Ch5	"(Anevia na tebe mrkne zboku.) ""Ach jo, díky. Ale myslím, že se bez tvých dárků obejdu."""	"(Anevia na tebe mrkne zboku.) ""Ach jo, díky. Ale myslím, že se bez tvých dárků obejdu."""	no
f0c8aaa0-bdc0-468a-9301-9815c5ac52c0	Female	MythicLocust Ch5	"""Je smutné, že Irabeth do kuchyně nepřijde a že jí neodlám kus horkého, voňavého chleba. Asi se můj sen nakonec nesplní."""	"""Je smutné, že Irabeth do kuchyně nepřijde a že jí neodlám kus horkého, voňavého chleba. Asi se můj sen nakonec nesplní."""	no
0d61cf44-f3dd-4c22-a064-7fdb6c08a33f	Female	MythicLocust Ch5	"""Nemám na to chuť."""	"""Nemám na to chuť."""	no
13e07068-5a48-4cb6-903a-d6b75c94ffdf	Female	DLC1Companions	"""Odpovím takto: rozhodnutí prodloužit můj život nebylo moje. Bylo to rozhodnutí církve {g|Iomedae}Iomedae{/g}. Elixíry sluneční orchideje zaplatila církev. Kněží rozhodli, že jsem v těchto temných časech potřeba jak jako panovnice, tak jako vyvolená paladina {g|Iomedae}Iomedae{/g}. Přijala jsem jejich rozhodnutí a velikou odpovědnost, kterou to s sebou nese."""	"""Odpovím takto: rozhodnutí prodloužit můj život nebylo moje. Bylo to rozhodnutí církve {g|Iomedae}Iomedae{/g}. Elixíry sluneční orchideje zaplatila církev. Kněží rozhodli, že jsem v těchto temných časech potřeba jak jako panovnice, tak jako vyvolená paladina {g|Iomedae}Iomedae{/g}. Přijala jsem jejich rozhodnutí a velikou odpovědnost, kterou to s sebou nese."""	no
d709231d-3b77-487b-9d08-6bc753c3cd4b	Female	DLC1Companions	"{n}Královna se slabě usměje.{/n} ""Ta Galfrey je stará žena, tížená velikým břemenem. Ale neztratila svůj zápal a až přijde čas, rozpoutá to!"""	"{n}Královna se slabě usměje.{/n} ""Ta Galfrey je stará žena, tížená velikým břemenem. Ale neztratila svůj zápal a až přijde čas, rozpoutá to!"""	no
330b1a5d-572e-4e69-a694-5674fd415576	Female	DLC1Companions	"""Nezapomeň, že zde jsem Kitrane, rytíř."""	"""Nezapomeň, že zde jsem Kitrane, rytíř."""	no
0bd3791e-a866-4caa-b417-cb28cb6845a0	Female	DLC1Companions	"""Přesto zníš jako žalobce u soudu: 'Proč si dovolit to, co jiní mít nemohou, v rozporu se všemi přírodními zákony?' To slyším v tvé otázce."" {n}Královna se zamračí.{/n} ""Ale vládci z kritiky přece těží, ne?"""	"""Přesto zníš jako žalobce u soudu: 'Proč si dovolit to, co jiní mít nemohou, v rozporu se všemi přírodními zákony?' To slyším v tvé otázce."" {n}Královna se zamračí.{/n} ""Ale vládci z kritiky přece těží, ne?"""	no
d0894788-a676-478d-9053-b1c0bbf7b02e	Female	DLC1Companions	"""Rozumné očekávání, a líbí se mi, že myslíš především na své bojovníky."""	"""Rozumné očekávání, a líbí se mi, že myslíš především na své bojovníky."""	no
a4dae392-348f-4d05-9de9-4059c27cbb9d	Female	DLC1Companions	"""Nu, to je dostatečně poctivá pohnutka. Společnost boje, boj bok po boku. Pro bojovníka jsou takové věci k nezaplacení."""	"""Nu, to je dostatečně poctivá pohnutka. Společnost boje, boj bok po boku. Pro bojovníka jsou takové věci k nezaplacení."""	no
