key	speaker_gender	speaker_name	cs_text	cs_text_female
bcda2efa-b77b-48ed-ad62-e630b0224fd8	Female	Seelah Q2	"""Podle pravidel bys měl ztuhnout na kámen, když si vezmeš špatné koště, pardon, 'artefakt.' Ale abych byl upřímný... rád ti pomůžu. Vlastně jsem zapomněl, které jsem označil jako to pravé."""	Podle pravidel bys měl ztuhnout na kámen, když si vezmeš špatné koště, pardon, 'artefakt.' Ale abych byla upřímná... ráda ti pomůžu. Vlastně jsem zapomněla, které jsem označila jako to pravé.
3ce10471-2290-4353-8b75-576be7ff7cc8	Female	Seelah Q2	"""Měla tu být 'bitva s predátorem', ale ještě nejsem dost opilý na to. Tak si vezmi jakékoli koště a běž. Nezapomeň ho dát Elanovi! Monarch ti dá odměnu za navrácení artefaktu."""	"""Měla tu být 'bitva s predátorem', ale ještě nejsem dost opilá na to. Tak si vezmi jakékoli koště a běž. Nezapomeň ho dát Elanovi! Monarch ti dá odměnu za navrácení artefaktu."""
69e44d37-a6d8-4054-8ec3-0901da2fca7e	Female	Seelah	"""Jsem trochu zmatený — kde jsou hudebníci, dav opilých hostů? Na poslední svatbě, kam jsem šel, jsme opili kněze úplně!"""	"""Jsem trochu zmatená — kde jsou hudebníci, dav opilých hostů? Na poslední svatbě, kam jsem šla, jsme opily kněze úplně!"""
95529f96-e2dd-49f6-bc42-e8a280b2b223	Female	Seelah	{n}Seelah se usmívá, ale její výraz je napjatý, sleduje dění.{/n}	{n}Seelah se usmívá, ale její výraz je napjatá, sleduje dění.{/n}
a45da3ec-8780-4027-bc02-4ffbccf07eff	Female	Seelah	"""Měla jsem ten pocit, že něco není v pořádku... Jsou to šperky, že? Všechny je vyrobil mistr Sunhammer, že? A on taky udělal prsten, který..."""	"""Měla jsem ten pocit, že něco není v pořádku... Jsou to šperky, že? Všechny je vyrobil mistr Sunhammer, že? A on taky udělal prsten, který..."""
3dc96605-b679-42a2-91c6-7516cee23501	Female	Seelah	"""Seznam se s Rimvim, známějším jako Curl. Pochází z Kenabres a bojuje v {g|condemned}Condemned{/g}. Je jedinečný: rogue se srdcem ze zlata."" {n}Seelah se usměje, pak dodá o něco vážněji,{/n} ""Curl, asi to není moje věc, ale měl by ses zamyslet, jestli to, co ses chystal udělat, je správné."""	"""Seznam se s Rimvim, známějším jako Curl. Pochází z Kenabres a bojuje v {g|condemned}Condemned{/g}. Je jedinečný: rogue se srdcem ze zlata."" {n}Seelah se usměje, pak dodá o něco vážněji,{/n} ""Curl, asi to není moje věc, ale měl by ses zamyslet, jestli to, co ses chystal udělat, je správné."""
dabb46e9-2fdb-4668-841d-cb7c9b427347	Female	Seelah	"{n}Seelahin obličej se rozzáří radostí.{/n} ""Takže ty jsi ta druhá dobrá zpráva, o které Curl mluvil! Ty a Jannah jste naživu!"""	"{n}Seelahin obličej se rozzáří radostí.{/n} ""Takže ty jsi ta druhá dobrá zpráva, o které Curl mluvil! Ty a Jannah jste naživu!"""
c26872c6-05a1-468b-a836-243aa0c311f9	Female	Seelah	"""{jméno}, je to opravdu nutné? Curl přece nic neudělal. Cokoliv mohl mít na mysli, to je mezi ním a jeho svědomím."""	"""{name}, je to opravdu nutné? Curl přece nic neudělal. Cokoliv mohl mít na mysli, to je mezi ním a jeho svědomím."""
a691aa7b-4db9-40ca-a954-b2987a13aa87	Female	Nenio	"""Rád bych poukázal, že pokud si někdo sbírá věci mrtvých čistě z vědeckých důvodů, není to rabování — je to posmrtný dobročinný dar! A jako takový není rozhodně třeba honit takového člověka napůl přes hořící město a slibovat nejrůznější strašlivé tresty. V tomhle případě se však zřejmě jedná o obyčejné rabování."""	"""ráda bych poukázala, že pokud si někdo sbírá věci mrtvých čistě z vědeckých důvodů, není to rabování — je to posmrtný dobročinný dar! A jako takový není rozhodně třeba honit takového člověka napůl přes hořící město a slibovat nejrůznější strašlivé tresty. V tomhle případě se však zřejmě jedná o obyčejné rabování."""
3025df1b-2d4e-449c-a86b-265c2e48a934	Female	Seelah Q1	"{n}Půl-elfka se laskavě usměje na Seelah.{/n} ""Hej, příteli! Jsem ráda, že jsi v pořádku! Když nás dav při oslavě rozdělil, hned jsem cítila, že něco není v pořádku. A když se náhle objevili démoni, pochopila jsem, proč jsem byla tak vystrašená. Ale nenašla jsem tě mezi mrtvými na náměstí, takže jsem si uchovala naději — a měla jsem pravdu!"""	"{n}Půl-elfka se laskavě usměje na Seelah.{/n} ""Hej, příteli! Jsem ráda, že jsi v pořádku! Když nás dav při oslavě rozdělil, hned jsem cítila, že něco není v pořádku. A když se náhle objevili démoni, pochopila jsem, proč jsem byla tak vystrašená. Ale nenašla jsem tě mezi mrtvými na náměstí, takže jsem si uchovala naději — a měla jsem pravdu!"""
