key	speaker_gender	speaker_name	cs_text	fem_preview	changed
e44c123f-c54d-4026-b380-d2c2f0e1b70c	Female	Areelu	"""Byl jsem poražen, avšak vítěz rozhodl nechat vše beze změny. Pokračoval jsem v životě — bez naděje, bez možnosti znovu najít smysl. Žil jsem ve Worldwoundu. Otevíral jsem nové trhliny a vedl démony na Golarion. Pokračoval jsem ve výzkumu magie, nikdy neuhýbaje od experimentů, které mnozí nazývali ‚nelidskými‘ — až do chvíle, kdy rána na mé hrudi vyžádala můj život."""	"""Byla jsem poražen, avšak vítěz rozhodla nechat vše beze změny. Pokračovala jsem v životě — bez naděje, bez možnosti znovu najít smysl. Žila jsem ve Worldwoundu. Otevírala jsem nové trhliny a vedla démony na Golarion. Pokračovala jsem ve výzkumu magie, nikdy neuhýbaje od experimentů, které mnozí nazývali ‚nelidskými‘ — až do chvíle, kdy rána na mé hrudi vyžádala můj život."""	yes
753fd1bf-cb7c-435d-8672-5b01f06dfb45	Female	Areelu	"""Můj experiment skončil úspěchem. Ve válce mezi Golarionem a Abyss jsem vystoupil jako vítěz. Trvalo sto let a milion smrti, než jsem přivedl zpět toho, komu byl tak krutě uťat život. A stálo to ještě jeden život — ten můj — aby {mf|him|her} mohl dál žít."""	"""Můjexperimentskončilaúspěchem. VeválcemeziGolarionemaAbybyssjsemvystoupilajakovítěz. Trvalostoletamilionsmrti,nežjsempřivedlazpěttoho,komubylatakkrutěuťatživot. Astálotoještějedenživot—tenmůj—abyby{mf|him|her} mohla dál žít."""	yes
fda4f24a-172b-496a-89ed-36b105790211	Female	Epilogue PharasmasCourt	"""{mf|On|Ona} už není v mé moci. To je pravda. Božstvo dalo {mf|jemu|ji} právo rozhodnout o {mf|jeho|jejím} vlastním osudu. Ale ty — ty jsi vstoupil do mého {g|Boneyard}Boneyard{/g}, abys mi přinesl tyto zprávy, a je v mé moci tě zničit, zneexistnit a vymazat z kosmu. Zajímá mě, očekával {mf|on|ona} takový výsledek? Úmyslně si tě vybral, abys byl {mf|jeho|její} vyslancem?"""	"""{mf|On|Ona} už není v mé moci. To je pravda. Božstvo dalo {mf|jemu|ji} právo rozhodnout o {mf|jeho|jejím} vlastním osudu. Ale ty — ty jsi vstoupila do mého {g|Boneyard}Boneyard{/g},abybyssmipřineslatytozprávy,ajevmémocitězničit,zneexistnitavymazatzkosmu. Zajímámě,očekávala{mf|on|ona}takovývýsledek? Úmyslněsitěvybrala,abybyssbyla{mf|jeho|její} vyslancem?"""	yes
911e9feb-7157-4ac8-be9b-8324d778aa0d	Female	MythicLocust Ch5	Poté, co jsem málem skončil jako lidská oběť, věděl jsem, že už nikdy nechci opustit Irabethinu stranu. {g|Desna}Desna{/g} ví, zamiloval jsem se do ní okamžitě a pořádně. Moje bída byla pryč. A když mi Irabeth ukázala, co bylo v těch papírech — důkaz, že kultisté měli hnízdo v jejím rodném městě — no, bez váhání jsem nabídl pomoc.	Poté, co jsem málem skončila jako lidská oběť, věděla jsem, že už nikdy nechci opustit Irabethinu stranu. {g|Desna}Desna{/g} ví, zamilovala jsem se do ní okamžitě a pořádně. Moje bída byla pryč. A když mi Irabeth ukázala, co bylo v těch papírech — důkaz, že kultisté měli hnízdo v jejím rodném městě — no, bez váhání jsem nabídla pomoc.	yes
7fa23909-eeb0-4b19-80fd-4997bf0bf693	Female	MythicLocust Ch5	Je to jako... žít. Bez ní bych nebyl. Vážně, kdybych byl sám, už bych dávno nebyl mezi živými.	Jetojako...žít. Bezníbychnebyla. Vážně,kdyžbychbylasám,užbychdávnonebylameziživými.	yes
1c9a62f0-9348-4578-9fda-02c38bc4513f	Female	MythicLocust Ch5	(Jako Anevia bezmocně gestikuluje.) Jo, občas se hádáme, to nelze popřít. Občas bušíme pěstmi do stolu a křičíme tak hlasitě, že se třesou zdi, ale to je všechno kvůli věcem Řádu. Ale doma... Dám ti příklad. Vždycky jsem chtěl přestěhovat se z té šatní skříně, které říkáme dům, do něčeho útulnějšího. Není to tak, že by v Eagle Watch skládali slib chudoby. Ale každý měsíc se nějak většina našich volných peněz utratí na záležitosti křižáků. Jasně, zlobím se na to, ale... (Anevia bezmocně gestikuluje.) To je část toho, proč ji tak miluju.	(Jako Anevia bezmocně gestikuluje.) Jo, občas se hádáme, to nelze popřít. Občas bušíme pěstmi do stolu a křičíme tak hlasitě, že se třesou zdi, ale to je všechno kvůli věcem Řádu. Ale doma... Dám ti příklad. Vždycky jsem chtěla přestěhovat se z té šatní skříně, které říkáme dům, do něčeho útulnějšího. Není to tak, že by v Eagle Watch skládali slib chudoby. Ale každý měsíc se nějak většina našich volných peněz utratí na záležitosti křižáků. Jasně, zlobím se na to, ale... (Anevia bezmocně gestikuluje.) To je část toho, proč ji tak miluju.	yes
c8f49b46-2d8b-4dce-8cff-dc856a898bdf	Female	MythicLocust Ch5	Víš, Irabeth má to, co je pro člověka nejdůležitější — smysl života. Vždy má důvod pro cokoliv, co dělá. Celý její život je křižácká výprava. A já... jen jsem se potloukal jako list ve větru, dokud nás {g|Desna}Desna{/g} nespojila. Teď je ona smyslem mého života. Takže je opravdu jedno, jestli bydlíme v sídle nebo pod keřem.	Víš, Irabeth má to, co je pro člověka nejdůležitější — smysl života. Vždy má důvod pro cokoliv, co dělá. Celá její život je křižácká výprava. A já... jen jsem se potloukala jako list ve větru, dokud nás {g|Desna}Desna{/g} nespojila. Teď je ona smyslem mého života. Takže je opravdu jedno, jestli bydlíme v sídle nebo pod keřem.	yes
b3758873-723a-4cdd-8f6c-b3eadc5cf304	Female	MythicLocust Ch5	Dovedli mě do jejich zapáchající jeskyně, hodili mě na oltář — a já si uvědomil, kdo to byl. {g|Zon-Kuthon}Kuthites{/g}. Z {g|Nidal}Nidal{/g}. Sledovali mě, po všech těch letech! Ale už mi to bylo jedno. Nezáleželo by mi ani kdyby mě snědli nebo co. Všichni jednou musíme jít, že jo? Ležel jsem tam a zíral na nože namířené na mě, když osud hodil kostkami a já vyhrál. {g|Irabeth}Irabeth{/g}. Tam byla, vtrhla do jeskyně.	Dovedli mě do jejich zapáchající jeskyně, hodili mě na oltář — a já si uvědomila, kdo to byla. {g|Zon-Kuthon}Kuthites{/g}. Z {g|Nidal}Nidal{/g}.Sledovalimě,povšechtěchletech! Aleužmitobylojedno. Nezáleželobymianikdyžbyměsnědlineboco. Všichnijednoumusímejít,žejo? Leželajsemtamazíralananoženamířenénamě,kdyžosudhodilakostkamiajávyhrála.{g|Irabeth}Irabeth{/g}. Tam byla, vtrhla do jeskyně.	yes
c0befdc9-37f5-42f7-b622-5ce905183cc8	Female	MythicLocust Ch5	(Anevia se vřele usměje.) Musela si myslet, že už nemohu vyčkat pomsty na kultistech. Ale ti mě nezajímali. Šlo o ni. Šel bych s ní kamkoli. I na {g|Crusades}crusade{/g}, nebo do čelistí draka.	(Anevia se vřele usměje.) Musela si myslet, že už nemohu vyčkat pomsty na kultistech. Ale ti mě nezajímali. Šlo o ni. Šla bych s ní kamkoli. I na {g|Crusades}crusade{/g}, nebo do čelistí draka.	yes
bd1bcac0-00c4-4310-8ae4-8fbee47151d4	Female	MythicLocust Ch5	Ale víš... Od Gray Garrison ses opravdu změnil. Těžko se to popisuje, ale stal ses tak trochu... (Anevia mávne rukou, snaží se najít slovo.)	Ale víš... Od Gray Garrison ses opravdu změnila. Těžko se to popisuje, ale stala ses tak trochu... (Anevia mávne rukou, snaží se najít slovo.)	yes
