guid	action	old_text	new_text
e44c123f-c54d-4026-b380-d2c2f0e1b70c	changed	"""Byl jsem poražen, avšak vítěz rozhodl nechat vše beze změny. Pokračoval jsem v životě — bez naděje, bez možnosti znovu najít smysl. Žil jsem ve Worldwoundu. Otevíral jsem nové trhliny a vedl démony na Golarion. Pokračoval jsem ve výzkumu magie, nikdy neuhýbaje od experimentů, které mnozí nazývali ‚nelidskými‘ — až do chvíle, kdy rána na mé hrudi vyžádala můj život."""	"""Byla jsem poražena, avšak vítěz rozhodl nechat vše beze změny. Pokračovala jsem v životě — bez naděje, bez možnosti znovu najít smysl. Žila jsem ve Worldwoundu. Otevírala jsem nové trhliny a vedl démony na Golarion. Pokračovala jsem ve výzkumu magie, nikdy neuhýbaje od experimentů, které mnozí nazývali ‚nelidskými‘ — až do chvíle, kdy rána na mé hrudi vyžádala můj život."""
6731c4eb-9e16-4f17-bd89-a054f432d782	changed	Kobold? Potkal jsem je pod zemí. Malí. Slabí. Mrštní. K v očím v souboji nic moc, ale milují klást pasti a střílet ti zezadu. Tenhle vypadá chytřejší než ostatní a mluví dobře… to musí znamenat, že past, kterou nastražil, je obzvlášť záludná! Buď opatrný, {mf|pán|paní}, nepřibližuj se k němu — raději ho střelte z dálky!	Kobold? Potkala jsem je pod zemí. Malí. Slabí. Mrštní. K v očím v souboji nic moc, ale milují klást pasti a střílet ti zezadu. Tenhle vypadá chytřejší než ostatní a mluví dobře… to musí znamenat, že past, kterou nastražil, je obzvlášť záludná! Buď opatrný, {mf|pán|paní}, nepřibližuj se k němu — raději ho střelte z dálky!
d6e081d4-c935-4e42-94bc-05f09c7cf98c	changed	Křižáci mají mnoho neobvyklých spojenců — ale ani já jsem nikdy nepotkal nikoho jako ty. Budu rád vidět kobolda v našich řadách! {n}Seelah se laskavě usměje.{/n}	Křižáci mají mnoho neobvyklých spojenců — ale ani já jsem nikdy nepotkala nikoho jako ty. Budu ráda vidět kobolda v našich řadách! {n}Seelah se laskavě usměje.{/n}
7320960b-5872-4bb3-8122-59eb3ad5e13d	changed	"""Věděl jsem, že nezaváháš. Vidíš skrz mě a tvé srdce nezná strach. Ale můžeš mi to mít za zlé, že jsem se snažila ho vycítit?"""	"""Věděla jsem, že nezaváháš. Vidíš skrz mě a tvé srdce nezná strach. Ale můžeš mi to mít za zlé, že jsem se snažila ho vycítit?"""
e91b3c9a-dee7-4f1e-a14a-8611dda6ffeb	changed	"""Démoni zaútočili na město během posledního festivalu... Ale to nezabránilo lidem z Kenabres uspořádat další velkolepé oslavy. Jsem rád, že jsou všichni v pořádku."""	"""Démoni zaútočili na město během posledního festivalu... Ale to nezabránilo lidem z Kenabres uspořádat další velkolepé oslavy. Jsem ráda, že jsou všichni v pořádku."""
c550eb38-e9c6-4f8b-99bf-393dcacb6be6	changed	"""Neustále mě udivuješ... Ale jsem rád, že jsi ve svém. Chtěl jsem se zeptat — navrhnout — něco. Samozřejmě ne křížovou výpravu, ale... myslel jsem, že bychom se mohli projít. Jen my dva."""	"""Neustále mě udivuješ... Ale jsem ráda, že jsi ve svém. Chtěla jsem se zeptat — navrhnout — něco. Samozřejmě ne křížovou výpravu, ale... myslela jsem, že bychom se mohli projít. Jen my dva."""
e511ce36-938b-4280-b28a-176f72828741	changed	"""Jsem si jistý, že tvoji společníci se někde poblíž dobře baví. A pokud poleví ve střehu... no, to je jejich vina."""	"""Jsem si jistá, že tvoji společníci se někde poblíž dobře baví. A pokud poleví ve střehu... no, to je jejich vina."""
788a1480-beef-4ffb-b394-72b373b9a02e	changed	"""Tvá malá psiska utekla s ocasy mezi nohama. A podívej na sebe... tváří v prach. Mohl bych tě rozdrtit jako hmyz. Co uděláš? Žebrat o milost? Možná tě mám hned zabít..."" {n}Wenduag zatlačí podrážku boty do krku hlídače.{/n}"	"""Tvá malá psiska utekla s ocasy mezi nohama. A podívej na sebe... tváří v prach. Mohla bych tě rozdrtit jako hmyz. Co uděláš? Žebrat o milost? Možná tě mám hned zabít..."" {n}Wenduag zatlačí podrážku boty do krku hlídače.{/n}"
d6d5c4d9-cd1f-4dd5-98b5-eea843c9d1e5	changed	"""Měl jsem tě rád."" {n}Wenduag se zadívá s uspokojeným úsměvem.{/n}"	"""Měla jsem tě ráda."" {n}Wenduag se zadívá s uspokojeným úsměvem.{/n}"
6dd130fe-7de0-4090-b03f-bba11805be48	changed	"""Pejsek? Nemyslel jsem, že psi umějí lézt po stromech."""	"""Pejsek? Nemyslela jsem, že psi umějí lézt po stromech."""
4d614a20-2d50-4d66-98be-b782521da9ed	changed	Slyšel jsem, že na oslavě zemřela nějaká ubohá mladá žena. Opravdu nechci další tragédii — proto chci zajistit, že pomohu každému, kdo to potřebuje.	Slyšela jsem, že na oslavě zemřela nějaká ubohá mladá žena. Opravdu nechci další tragédii — proto chci zajistit, že pomohu každému, kdo to potřebuje.
df6eb5a8-893a-4b27-b80b-2a28c172e68f	changed	"""Našel jsi ho! Kdybys už nebyl mým asistentem, nabídl bych ti to místo hned teď!"""	"""Našel jsi ho! Kdybys už nebyl mým asistentem, nabídla bych ti to místo hned teď!"""
0322f660-db9c-436d-b3f6-dab5ddfd0f3d	changed	„Ano, bohužel. Doufal jsem, že démona vyslýcháme dřív, než ho zabijeme. Ale dosud odolal všem našim snahám... Nemůžeme se tedy teď vzdát.“	„Ano, bohužel. Doufala jsem, že démona vyslýcháme dřív, než ho zabijeme. Ale dosud odolal všem našim snahám... Nemůžeme se tedy teď vzdát.“
1366d218-e27a-4fde-b57b-65b7515c92c1	changed	Nemusíš mi to říkat. Už to vím. Všechny urážky a krutá slova, všechny hrozné věci, které lidé říkají o chudých... Slyšel(a) jsem to už dřív — možná i od tebe. (Ember má plamenné oči, žena couvá vyděšeně.) Chceš, abych přišla na čaj a vyprávěla ti o městě démonů? Proč nepozveš děti, aby ti pověděly o svém životě tady? Příběhy budou stejné. Démoni trápí chudé ve svém městě... a vy je trápíte tady!	Nemusíš mi to říkat. Už to vím. Všechny urážky a krutá slova, všechny hrozné věci, které lidé říkají o chudých... Slyšela jsem to už dřív — možná i od tebe. (Ember má plamenné oči, žena couvá vyděšeně.) Chceš, abych přišla na čaj a vyprávěla ti o městě démonů? Proč nepozveš děti, aby ti pověděly o svém životě tady? Příběhy budou stejné. Démoni trápí chudé ve svém městě... a vy je trápíte tady!
970ce94b-3f76-4594-b99f-b172c83fe65e	changed	"""Nebál bych se. Tenhle festival je obrovský... V davu se lidi snadno ztratí. Jsem si jistý, že oslavují někde venku."""	"""Nebála bych se. Tenhle festival je obrovský... V davu se lidi snadno ztratí. Jsem si jistá, že oslavují někde venku."""
855d27ab-d91f-4e00-b26c-9d96672030db	changed	"""Rád tě poznávám, Valiso. Jmenuji se Arueshalae."""	"""Ráda tě poznávám, Valiso. Jmenuji se Arueshalae."""
1e64a2a4-bb4b-466d-872a-c8e9504b4463	changed	"""„Hej, ahoj! Viděl jsem, jak nás sleduješ. Chceš být přátelé?“"""	"""„Hej, ahoj! Viděla jsem, jak nás sleduješ. Chceš být přátelé?“"""
1bcd115b-082d-46ae-8189-e3bc1cfad543	changed	"""„Samozřejmě! Všiml jsem si vás hned! Vaše kostýmy nejde přehlédnout…“"""	"""„Samozřejmě! Všimla jsem si vás hned! Vaše kostýmy nejde přehlédnout…“"""
261e8ab0-73a4-4429-9d9a-2a1f5cea45bc	changed	"""Kuchyně jsem vždycky měl rád. Jsou teplé a lidé v nich pracující jsou laskaví, i když si občas postěžují."""	"""Kuchyně jsem vždycky měla ráda. Jsou teplé a lidé v nich pracující jsou laskaví, i když si občas postěžují."""
3c0f3707-5f6a-4b7a-ad3f-fde2ff6815b1	changed	Rád si na to připiju. A klidně víckrát!	Ráda si na to připiju. A klidně víckrát!
c830b7c3-843f-43bb-822d-29e0a4f95845	changed	Jen věř... Asi máš pravdu. Věřím Desně, a ta mě sem přivedla. Mohl bych také věřit Pharasmě...	Jen věř... Asi máš pravdu. Věřím Desně, a ta mě sem přivedla. Mohla bych také věřit Pharasmě...
512f1336-b7de-4d8d-a7ce-fd78789213c6	changed	Kdybych byl Pharasma, rozdělil bych všechny duše a stanovil čekací dobu na vzkříšení úměrnou jejich užitečnosti pro Golarion. To pravděpodobně udělala.	Kdybych byla Pharasma, rozdělila bych všechny duše a stanovil čekací dobu na vzkříšení úměrnou jejich užitečnosti pro Golarion. To pravděpodobně udělala.
40376ae5-52ba-40a8-8a5c-f23086581661	changed	Ve smrtelném světě je víc než dost zábavy, ale rád bych viděl, co nám tento tajemný pán nabídne.	Ve smrtelném světě je víc než dost zábavy, ale ráda bych viděla, co nám tento tajemný pán nabídne.
41e86488-98c4-4923-9a37-cdf3157ae6d7	changed	Ó, tušil jsem, že něco dnes musí jít špatně, ale nikdy bych si nepomyslel, že budeme uneseni a donuceni bojovat v aréně dřív, než se vůbec dostaneme na festival.	Ó, tušila jsem, že něco dnes musí jít špatně, ale nikdy bych si nepomyslel, že budeme uneseni a donuceni bojovat v aréně dřív, než se vůbec dostaneme na festival.
f3f06d9b-f0f2-472c-9221-5c1dab41b10f	changed	"""Když zvedl meč, na okamžik jsem byl zklamán. Myslel jsem, že se polekal a rozhodl ukončit své utrpení hned tam. Ukrást nám vítězství a odejít po svém. Podcenil jsem ho. Starý muž měl v sobě pořád kus houževnatosti..."" {n}Wenduag se ušklíbne.{/n} ""Byl to slavný boj a slavné vítězství."""	"""Když zvedl meč, na okamžik jsem byla zklamána. Myslela jsem, že se polekal a rozhodl ukončit své utrpení hned tam. Ukrást nám vítězství a odejít po svém. Podcenila jsem ho. Starý muž měl v sobě pořád kus houževnatosti..."" {n}Wenduag se ušklíbne.{/n} ""Byl to slavný boj a slavné vítězství."""
a3729941-37ed-4beb-a5bd-b154ce1930ea	changed	"""Chtěl bych říct, že nám ten had lže, ale nemohu to udělat. Necítím od nich žádné zvláštní zlo. Znamená to, že je to celé pravda? Ach, Seelah, ty hlupáku, do čeho ses teď zase namotal?"""	"""Chtěla bych říct, že nám ten had lže, ale nemohu to udělat. Necítím od nich žádné zvláštní zlo. Znamená to, že je to celé pravda? Ach, Seelah, ty hlupáku, do čeho ses teď zase namotal?"""
