guid	speaker_name	orig_cs	fem_cs	changed
7e3fd30b-9eed-4980-8fd9-1af519d90b99	Areelu	"""A co já, pisatel těchto slov, polodémonka čarodějka známá jako Architektka Worldwoundu?"""	"""A co já, pisatel těchto slov, polodémonka čarodějka známá jako Architektka Worldwoundu?"""	no
7b429f6b-3e17-4f01-a718-4aca9649ad42	Areelu	"""Získala jsem více, než jsem doufala. Dosáhla jsem svého cíle, přemohla jsem smrt — nevyřčená moc a věčnost leží přede mnou. Jak strávím tu věčnost? Ještě jsem se nerozhodla. Ale vím — z vlastní zkušenosti vím — že každý okamžik má cenu, když je stráven s tím, kdo je pro tebe nejdůležitější."""	"""Získala jsem více, než jsem doufala. Dosáhla jsem svého cíle, přemohla jsem smrt — nevyřčená moc a věčnost leží přede mnou. Jak strávím tu věčnost? Ještě jsem se nerozhodla. Ale vím — z vlastní zkušenosti vím — že každý okamžik má cenu, když je stráven s tím, kdo je pro tebe nejdůležitější."""	no
590bcea2-9527-4ed1-a941-d1061e3097a7	Areelu	"""Přidala jsem se na stranu toho, proti komu jsem dříve bojovala. Viděla jsem omyl svého úsudku a správnost {mf|his|hers}. Pomohla jsem obnovit svět, který jsem zohavila. Zachraňovala jsem ho, hojila — až do chvíle, kdy rána na mé hrudi vyžádala můj život."""	"""Přidala jsem se na stranu toho, proti komu jsem dříve bojovala. Viděla jsem omyl svého úsudku a správnost {mf|his|hers}. Pomohla jsem obnovit svět, který jsem zohavila. Zachraňovala jsem ho, hojila — až do chvíle, kdy rána na mé hrudi vyžádala můj život."""	no
cd04e9ab-c34b-49ce-b0a7-25f064571101	Areelu	"""Byla jsem poražena. Vítěz mi ušetřil život gestem, které nebylo zcela milostí, ani zcela dobročinností. Zůstala jsem bez naděje, bez šance znovu najít smysl. Dožila jsem své poslední dny v odloučené chalupě daleko od všech, nikým potřebná, nikým nalezená."""	"""Byla jsem poražena. Vítěz mi ušetřila život gestem, které nebylo zcela milostí, ani zcela dobročinností. Zůstala jsem bez naděje, bez šance znovu najít smysl. Dožila jsem své poslední dny v odloučené chalupě daleko od všech, nikým potřebná, nikým nalezená."""	yes
102a4671-6e9d-45b6-a801-32d1706c9698	Areelu	"""Byla jsem poražena a padla rukou toho, koho jsem se snažila proměnit. Můj experiment skončil nezdarem a můj život s ním."""	"""Byla jsem poražena a padla rukou toho, koho jsem se snažila proměnit. Můj experiment skončila nezdarem a můj život s ním."""	yes
9fef8bad-d77c-45c3-ad34-32e1fa9ecb1d	Areelu	"""Byla jsem poražena. Padla jsem rukou toho, koho jsem plánovala proměnit v budoucnosti, která nepřišla. Můj experiment skončil nezdarem dřív, než vůbec začal. Což znamená, že jsem zemřela nevinná, dřív než jsem mohla spáchat jakékoli hříchy vůči vesmíru."""	"""Byla jsem poražena. Padla jsem rukou toho, koho jsem plánovala proměnit v budoucnosti, která nepřišla. Můj experiment skončila nezdarem dřív, než vůbec začala. Což znamená, že jsem zemřela nevinná, dřív než jsem mohla spáchat jakékoli hříchy vůči vesmíru."""	yes
91678ddf-3aa5-4810-9d6b-ded9211100a1	Areelu	"""Vyprávěla jsem ti příběh svého života, {g|Pharasma}Pharasma{/g}, Lady of Graves. Nejen o mém životě, ale i o Commandera. Věřím, že příběh tak proslulé postavy by vzbudil zvědavost i bohyně."""	"""Vyprávěla jsem ti příběh svého života, {g|Pharasma}Pharasma{/g}, Lady of Graves. Nejen o mém životě, ale i o Commandera. Věřím, že příběh tak proslulé postavy by vzbudila zvědavost i bohyně."""	yes
37ef9f4c-f71b-4cda-aa01-33d3af24cc39	Areelu	"""Přišla jsem sem říct, že {mf|he|she} a já už nejsme ve tvé moci. To je poslední, nejvýznamnější výsledek mého experimentu Transformace."""	"""Přišla jsem sem říct, že {mf|he|she} a já už nejsme ve tvé moci. To je poslední, nejvýznamnější výsledek mého experimentu Transformace."""	no
14bb7f75-e64d-4b06-a11d-40f0decd2d05	Areelu	"""Teď už víš vše. Očekávám tvůj rozsudek, bohyně."""	"""Teď už víš vše. Očekávám tvůj rozsudek, bohyně."""	no
e8e08c11-ef47-4659-8161-f8795f262443	Areelu	"""Kde je teď tvá proklamovaná vyrovnanost? Pokud uděláš takový krok, zapálíš válku, jež zatřese kosmem. Jsi na to připravena, Lady of Graves?"""	"""Kde je teď tvá proklamovaná vyrovnanost? Pokud uděláš takový krok, zapálíš válku, jež zatřese kosmem. Jsi na to připravena, Lady of Graves?"""	no
