397	
400	
405	
2741	An {g|Encyclopedia:Alignment}evil{/g} cleric (or a neutral cleric of an evil deity) can channel stored {g|Encyclopedia:Spell}spell{/g} energy into wounding spells that she did not prepare ahead of time. The cleric can "lose" any prepared spell that is not an {g|Encyclopedia:Cantrips_Orisons}orison{/g} or domain spell in order to cast any inflict spell of the same spell level (an inflict spell is any spell with "inflict" in its name).
2742	Spontaneous Wounding
2743	At 8th level, you can use your domain's greater power.
2744	Greater Domain Power
2745	Angelfire apostles use the powers of good to avoid violence when possible and cleanse both maladies and evil creatures with blinding flames.
2746	Angelfire Apostle
2747	At 9th level, the angelfire apostle becomes a direct conduit for the righteous power of his deity. Whenever the angelfire apostle casts a {g|Encyclopedia:Spell}spell{/g}, for 1 {g|Encyclopedia:Combat_Round}round{/g} he can unleash a blast of flames as a {g|Encyclopedia:Swift_Action}swift action{/g} by expending one use of his channel energy ability. The flames deal {g|Encyclopedia:Dice}1d4{/g} points of {g|Encyclopedia:Damage}damage{/g} per spell level of the highest level spell he can cast to all enemies in a 20-foot radius. Half of the damage is {g|Encyclopedia:Energy_Damage}fire damage{/g}, and half is raw divine power not subject to fire {g|Encyclopedia:Energy_Resistance}resistance{/g} or {g|Encyclopedia:Energy_Immunity}immunity{/g}. Any creature in the area can halve the damage with a successful {g|Encyclopedia:Saving_Throw}Reflex saving throw{/g} ({g|Encyclopedia:DC}DC{/g} 10 + half angelfire apostle level + {g|Encyclopedia:Charisma}Charisma{/g} modifier).
2748	Cleansing Flames
2749	Angelfire apostles are only proficient with light armor.
2750	Armor Proficiency
3210	Spontaneous Summoning
3211	A druid gains the ability to transform into an animal, gaining its {g|Encyclopedia:Attack}attacks{/g} and abilities, thus becoming deadly in melee combat. As a druid advances, they learn to turn into more and more powerful beasts.
3212	Wild Shape
3213	At 2nd level, you can move through any sort difficult terrain at your normal {g|Encyclopedia:Speed}speed{/g} and without taking {g|Encyclopedia:Damage}damage{/g} or suffering any other impairment.
3214	A druid gains a +2 {g|Encyclopedia:Bonus}bonus{/g} on {g|Encyclopedia:Lore_Nature}Lore (nature){/g} {g|Encyclopedia:Check}checks{/g}.
